apn,SitusHouseNbr,SitusHouseNbrSuffix,SitusDirectionLeft,SitusStreet,SitusMode,SitusDirectionRight,SitusUnitType,SitusUnitNbr,SitusCity,SitusState,SitusZIP5,HomeEquityIntelScore_LineofCredit
222407-9084,5217,,,LAKE ALICE,RD,SE,,,FALL CITY,WA,98024,111
01104300003100,8683,,,83RD,ST,NE,,,MARYSVILLE,WA,98270,107
420500-1240,33020,,,10TH,AVE,SW,UNIT,E202,FEDERAL WAY,WA,98023,44
399020-0008,15819,,,12TH,AVE,SW,,,BURIEN,WA,98166,178
311075-0060,3717,,,BEACH,DR,SW,APT,107,SEATTLE,WA,98116,229
00819800001100,3119,,,153RD,PL,SW,,,LYNNWOOD,WA,98087,309
5141000040,8623,,,118TH,ST,E,,,PUYALLUP,WA,98373,201
165600-0040,9060,,NE,26TH,ST,,,,CLYDE HILL,WA,98004,220
156810-0358,14517,,,32ND,AVE,NE,,,SHORELINE,WA,98155,
720540-0245,27911,,,13TH,AVE,S,,,DES MOINES,WA,98198,175
247337-1850,15624,,SE,168TH,ST,,,,RENTON,WA,98058,268
7500300070,10409,,,MOLLER,DR,NW,,,GIG HARBOR,WA,98332,149
814300-0150,14170,,,104TH,PL,NE,,,KIRKLAND,WA,98034,89
319100-0270,12620,,,93RD,PL,NE,,,KIRKLAND,WA,98034,279
9145000150,1130,,S,59TH,ST,,,,TACOMA,WA,98408,284
087850-0120,20918,,,118TH,PL,SE,,,KENT,WA,98031,
00478600001800,8125,,,55TH,AVE,NE,,,MARYSVILLE,WA,98270,224
184239-0020,16209,,NE,112TH,CT,,,,REDMOND,WA,98052,202
193480-0165,169,,,19TH,AVE,,,,SEATTLE,WA,98122,128
139730-0005,16710,,,DAYTON,AVE,N,,,SHORELINE,WA,98133,209
980450-0200,39016,,,258TH,AVE,SE,,,ENUMCLAW,WA,98022,137
00741800001300,3523,,,208TH,PL,SW,,,LYNNWOOD,WA,98036,214
259420-0530,9604,,,44TH,AVE,SW,,,SEATTLE,WA,98136,168
034940-0160,633,,,NATALIE,PL,,,,ENUMCLAW,WA,98022,91
113740-0070,5203,,NE,10TH,PL,,,,RENTON,WA,98059,142
00755400000700,3,,,199TH,PL,SE,,,BOTHELL,WA,98012,145
5345000092,1410,,E,56TH,ST,,,,TACOMA,WA,98404,97
00898100007500,19316,,,VISTA,DR,,,,ARLINGTON,WA,98223,198
7093020680,25514,,,30TH,AVE,E,,,SPANAWAY,WA,98387,98
00881000430100,12530,,,ADMIRALTY,WAY,,APT,D301,EVERETT,WA,98204,89
111800-1680,1503,,,SHENANDOAH,DR,E,,,SEATTLE,WA,98112,195
339535-0060,16710,,NE,139TH,PL,,,,WOODINVILLE,WA,98072,172
6023130010,18719,,,88TH,AVE,E,,,PUYALLUP,WA,98375,53
261734-0080,2419,,,8TH,AVE,N,APT,403,SEATTLE,WA,98109,157
312606-9021,19005,,NE,REDMOND,RD,,,,REDMOND,WA,98053,184
01011800001500,16324,,,40TH,DR,SE,,,BOTHELL,WA,98012,232
6024981300,18137,,,97TH,AVE,E,,,PUYALLUP,WA,98375,85
501600-1325,408,,,26TH,AVE,E,,,SEATTLE,WA,98112,229
142220-0295,719,,,RANDOLPH,PL,,,,SEATTLE,WA,98122,124
01033700001200,2825,,,208TH,PL,SW,,,LYNNWOOD,WA,98036,
01074400001300,1110,,,167TH,PL,SW,,,LYNNWOOD,WA,98037,94
807820-0320,9914,,NE,138TH,PL,,,,KIRKLAND,WA,98034,138
8000091660,1452,,,JEFFERSON,AVE,,,,BUCKLEY,WA,98321,162
7970000080,160,,,CHRISTINA,DR,,,,SUMNER,WA,98390,159
0220328002,10404,,,93RD STREET,CT,SW,#,10406,TACOMA,WA,98498,
669900-0310,17811,,SE,259TH,PL,,,,COVINGTON,WA,98042,130
00918000004000,13501,,,43RD,AVE,SE,,,MILL CREEK,WA,98012,201
197430-0140,7430,,NE,120TH,ST,,,,KIRKLAND,WA,98034,130
3000680370,6714,,,94TH STREET,CT,NW,,,GIG HARBOR,WA,98332,341
01014500001100,27813,,,78TH,AVE,NW,,,STANWOOD,WA,98292,117
3165320150,3937,,N,VISSCHER,ST,,,,TACOMA,WA,98407,112
954285-0660,12806,,SE,22ND,PL,,,,BELLEVUE,WA,98005,208
00376600000200,6403,,,225TH,PL,SW,,,MOUNTLAKE TERRACE,WA,98043,79
287210-1520,2814,,NW,71ST,ST,,,,SEATTLE,WA,98117,187
012603-9506,219,,NW,200TH,ST,,,,SHORELINE,WA,98177,185
0419135002,13216,,,145TH AVENUE,CT,E,,,ORTING,WA,98360,207
951120-1490,17369,,,WOODCREST,DR,NE,,,BOTHELL,WA,98011,47
00773600004800,9403,,,15TH,ST,SE,,,LAKE STEVENS,WA,98258,72
