apn,SitusHouseNbr,SitusHouseNbrSuffix,SitusDirectionLeft,SitusStreet,SitusMode,SitusDirectionRight,SitusUnitType,SitusUnitNbr,SitusCity,SitusState,SitusZIP5,HomeEquityIntelScore_LineofCredit
00728100014900,6117,,,142ND,ST,SE,,,EVERETT,WA,98208,135
754980-1445,5555,,,18TH,AVE,S,,,SEATTLE,WA,98108,307
00653300001400,4700,,,225TH,PL,SW,,,MOUNTLAKE TERRACE,WA,98043,308
894730-0010,25602,,,14TH,PL,S,,,DES MOINES,WA,98198,39
0520217039,6209,,,185TH,AVE,E,,,BONNEY LAKE,WA,98391,98
00725700006000,10833,,,56TH,PL,W,,,MUKILTEO,WA,98275,214
038100-0355,4410,,NE,68TH,ST,,,,SEATTLE,WA,98115,449
808040-0049,113,,,17TH,AVE,E,#,A,SEATTLE,WA,98112,150
289640-0560,18614,,,144TH,AVE,NE,,,WOODINVILLE,WA,98072,156
619070-0546,835,,NW,177TH,PL,,,,SHORELINE,WA,98177,177
00680500101200,4701,,,176TH,ST,SW,APT,A12,LYNNWOOD,WA,98037,
556210-0205,15701,,,STONE,AVE,N,,,SHORELINE,WA,98133,92
222505-9334,2833,,,134TH,AVE,NE,,,BELLEVUE,WA,98005,64
052205-9207,19848,,,104TH,AVE,SE,,,RENTON,WA,98055,102
259745-0160,5800,,,145TH,AVE,SE,,,BELLEVUE,WA,98006,219
236810-0100,32216,,,39TH,AVE,S,,,FEDERAL WAY,WA,98001,72
6883020070,13310,,,108TH AVENUE,CT,E,,,PUYALLUP,WA,98374,243
940659-0110,24241,,,229TH,AVE,SE,,,MAPLE VALLEY,WA,98038,124
721471-1200,18839,,,197TH,AVE,NE,,,WOODINVILLE,WA,98077,291
00729400000500,7817,,,182ND,PL,SW,,,EDMONDS,WA,98026,150
333940-0415,31020,,,104TH,AVE,SE,,,AUBURN,WA,98092,
243670-0850,5215,,,39TH,AVE,NE,,,SEATTLE,WA,98105,311
785330-1600,34026,,SE,SALAL,ST,,,,SNOQUALMIE,WA,98065,188
730890-0335,12215,,,2ND,AVE,NW,,,SEATTLE,WA,98177,128
00490400000900,31408,,W,LAKE KETCHUM,RD,,,,STANWOOD,WA,98292,
733800-1140,3101,,,K,ST,NE,,,AUBURN,WA,98002,87
942915-0530,9728,,,178TH,PL,NE,UNIT,203,REDMOND,WA,98052,187
387648-0150,12912,,NE,146TH,PL,,,,WOODINVILLE,WA,98072,
952230-0030,10933,,,84TH,PL,NE,,,KIRKLAND,WA,98034,363
951075-0020,18509,,,115TH,PL,SE,,,RENTON,WA,98055,127
31051400300300,19601,,,67TH,AVE,NE,,,ARLINGTON,WA,98223,
333300-2700,6729,,,42ND,AVE,S,,,SEATTLE,WA,98118,37
00604900001502,2214,,,LAKE,DR,,,,LAKE STEVENS,WA,98258,184
7000020230,12121,,,204TH AVENUE,CT,E,,,BONNEY LAKE,WA,98391,157
0217272022,8302,,,360TH,ST,S,,,,WA,,39
27090600107200,305,,,3RD,ST,,,,GOLD BAR,WA,98251,122
2005290030,1412,,S,5TH,ST,,,,TACOMA,WA,98405,105
302530-0242,7814,,NE,14TH,ST,,,,MEDINA,WA,98039,196
390492-1060,4300,,,246TH,PL,SE,,,SAMMAMISH,WA,98029,209
513780-0750,30823,,,133RD,AVE,SE,,,AUBURN,WA,98092,149
132834-0180,15218,,SE,178TH,PL,,,,RENTON,WA,98058,148
555400-0720,742,,,KIRKLAND,CIR,,APT,E306,KIRKLAND,WA,98033,59
01090300005100,7623,,,15TH,PL,SE,,,LAKE STEVENS,WA,98258,186
193912-0480,1904,,,234TH,CT,NE,,,SAMMAMISH,WA,98074,116
721140-0709,10005,,,18TH,AVE,SW,,,SEATTLE,WA,98146,215
559400-0130,2551,,,THORNDYKE,AVE,W,APT,401,SEATTLE,WA,98199,163
928170-0220,2355,,,47TH,AVE,SW,,,SEATTLE,WA,98116,198
6700000150,502,,,103RD,ST,S,,,TACOMA,WA,98444,281
00784400001700,728,,,234TH,ST,SE,,,BOTHELL,WA,98021,109
215200-0025,15209,,SE,326TH,ST,,,,AUBURN,WA,98092,58
792010-0010,6853,,,25TH,AVE,NE,,,SEATTLE,WA,98115,140
6025231370,8610,,,184TH STREET,CT,E,,,PUYALLUP,WA,98375,145
812520-0200,17056,,,51ST,AVE,S,,,SEATAC,WA,98188,39
095200-5600,4441,,,40TH,AVE,SW,,,SEATTLE,WA,98116,86
6995324320,21522,,,146TH,ST,E,,,BONNEY LAKE,WA,98391,27
5001990460,1834,,,POINTE WOODWORTH,DR,NE,,,TACOMA,WA,98422,121
00410500301200,417,,,AVENUE G,,,,,SNOHOMISH,WA,98290,
295390-0520,7575,,,OLD REDMOND,RD,,#,7,REDMOND,WA,98052,
7785005400,5401,,,YAKIMA,AVE,,,,TACOMA,WA,98408,154
00840800000400,6218,,,72ND,ST,NE,,,MARYSVILLE,WA,98270,116
293760-0490,590,,,1ST,AVE,S,APT,716,SEATTLE,WA,98104,127
00933100003500,15414,,,35TH,AVE,W,UNIT,35,LYNNWOOD,WA,98087,70
035700-0005,1107,,,31ST,AVE,S,,,SEATTLE,WA,98144,174
2615000090,1411,,,FIRLAND,DR,,,,PUYALLUP,WA,98371,101
921070-1350,3425,,S,176TH,ST,,UNIT,275,SEATAC,WA,98188,71
722920-0100,17025,,,130TH,AVE,SE,,,RENTON,WA,98058,167
9327000260,5802,,S,CHEYENNE,ST,,,,TACOMA,WA,98409,
01164900000900,18716,,,43RD,DR,SE,,,BOTHELL,WA,98012,174
01167600024700,10409,,,TAILSPAR,AVE,,,,GRANITE FALLS,WA,98252,118
501500-1095,2406,,E,VALLEY,ST,,,,SEATTLE,WA,98112,136
338837-0020,2636,,NW,59TH,ST,,APT,1,SEATTLE,WA,98107,168
384720-0190,2029,,,210TH,CIR,NE,,,SAMMAMISH,WA,98074,136
051450-0206,13911,,SE,24TH,ST,,,,BELLEVUE,WA,98005,
160710-0090,4042,,,31ST,AVE,S,,,SEATTLE,WA,98108,167
769792-0330,26109,,,121ST,AVE,SE,,,KENT,WA,98030,
638591-0260,805,,SW,117TH,ST,,,,SEATTLE,WA,98146,119
506740-0063,917,,S,258TH,PL,,,,DES MOINES,WA,98198,218
924611-0090,17633,,SE,188TH,PL,,,,RENTON,WA,98058,164
068780-0010,2716,,,ELLIOTT,AVE,,PH,1,SEATTLE,WA,98121,78
262175-0330,25702,,,174TH,PL,SE,,,COVINGTON,WA,98042,240
27052400402000,9519,,,212TH,ST,SE,,,SNOHOMISH,WA,98296,95
01042000001400,16419,,,42ND,DR,SE,,,BOTHELL,WA,98012,118
287270-0050,2621,,,J,ST,NE,,,AUBURN,WA,98002,
27060700401300,17612,,,FALES,RD,,,,SNOHOMISH,WA,98296,
9497020651,11122,,,149TH STREET,CT,E,,,PUYALLUP,WA,98374,114
413950-0150,5662,,,173RD,AVE,SE,,,BELLEVUE,WA,98006,
515600-0090,601,,S,227TH,ST,,APT,208N,DES MOINES,WA,98198,94
403810-0110,15720,,SE,4TH,ST,,,,BELLEVUE,WA,98008,150
868221-1340,12242,,,235TH,PL,NE,,,REDMOND,WA,98053,251
382650-0860,24512,,,128TH,PL,SE,,,KENT,WA,98030,136
5065400840,19105,,,MARYANN,DR,E,,,LAKE TAPPS,WA,98391,145
375160-6375,5320,,S,372ND,ST,,,,AUBURN,WA,98001,251
179590-0380,14131,,,174TH,PL,NE,,,REDMOND,WA,98052,156
30060200301900,16407,,,126TH,ST,NE,,,ARLINGTON,WA,98223,
231010-0240,22417,,SE,280TH,PL,,,,MAPLE VALLEY,WA,98038,196
5650200011,3345,,N,BENNETT,ST,,,,TACOMA,WA,98407,73
28061800103500,217,,,6TH,ST,,,,SNOHOMISH,WA,98290,102
132834-0750,15319,,SE,179TH,ST,,,,RENTON,WA,98058,108
3755000250,4909,,N,29TH,ST,,,,TACOMA,WA,98407,
7000370120,10315,,,151ST AVENUE,CT,E,,,PUYALLUP,WA,98374,259
019550-0230,1000,,,AURORA,AVE,N,#,201,SEATTLE,WA,98109,
6022550081,13408,,,TO,,,,,NELLISTON,WA,13410,
28050100106500,5211,,,93RD,AVE,SE,,,SNOHOMISH,WA,98290,192
937630-0645,8039,,,11TH,AVE,NW,,,SEATTLE,WA,98117,195
810090-0110,5915,,,18TH,AVE,S,,,SEATTLE,WA,98108,173
251350-0005,4235,,,INTERLAKE,AVE,N,,,SEATTLE,WA,98103,208
363600-0080,923,,,15TH,AVE,,APT,8,SEATTLE,WA,98122,181
889870-0130,2807,,,MILL,AVE,S,,,RENTON,WA,98055,45
8935010430,3521,,S,K,ST,,,,TACOMA,WA,98418,183
873198-3050,31749,,,42ND,AVE,SW,,,FEDERAL WAY,WA,98023,146
01187200010400,3405,,,103RD,DR,NE,#,104,LAKE STEVENS,WA,98258,167
113300-0062,12505,,,20TH,AVE,NE,,,SEATTLE,WA,98125,128
156610-0050,2560,,NE,98TH,ST,,,,SEATTLE,WA,98115,126
28073300403000,23727,,,FLORENCE ACRES,RD,,,,MONROE,WA,98272,116
5780002303,1622,,,141ST STREET,CT,S,,,TACOMA,WA,98444,205
01066900006300,3223,,,147TH,PL,SW,,,LYNNWOOD,WA,98087,109
00693200620300,820,,,CADY,RD,,APT,F203,EVERETT,WA,98203,
00570100010501,23736,,,29TH,AVE,W,,,BRIER,WA,98036,298
2510000254,2506,,,MARIETTA,ST,,,,STEILACOOM,WA,98388,206
926720-0275,1121,,N,93RD,ST,,APT,A,SEATTLE,WA,98103,
926885-1100,308,,NE,EAGLE,WAY,,,,ISSAQUAH,WA,98029,163
174550-0630,2125,,,1ST,AVE,,APT,1702,SEATTLE,WA,98121,87
741950-0010,10124,,,111TH,AVE,NE,,,KIRKLAND,WA,98033,144
217750-0250,2121,,E,BEAVER LAKE,DR,SE,,,SAMMAMISH,WA,98075,255
030140-2300,1017,,,43RD,CT,NE,,,AUBURN,WA,98002,166
28061400305300,9226,,,171ST,AVE,SE,,,SNOHOMISH,WA,98290,154
211370-1200,8102,,,13TH,AVE,SW,,,SEATTLE,WA,98106,210
9784901010,8714,,,59TH,ST,W,,,UNIVERSITY PLACE,WA,98467,186
375060-2598,37248,,,39TH,AVE,S,,,AUBURN,WA,98001,
9817000084,6807,,,77TH,ST,W,,,LAKEWOOD,WA,98499,258
9004040050,2603,,,MCNEIL,ST,,,,DUPONT,WA,98327,
7001810010,18114,,,113TH,ST,E,,,BONNEY LAKE,WA,98391,71
00730700001700,9910,,,33RD,DR,SE,,,EVERETT,WA,98208,42
00929701500400,14007,,,69TH,DR,SE,UNIT,R4,SNOHOMISH,WA,98296,123
0319117003,2504,,,123RD,ST,E,,,TACOMA,WA,98445,112
769787-0450,26310,,,119TH,DR,SE,,,KENT,WA,98030,166
00488500002200,22603,,,68TH,PL,W,,,MOUNTLAKE TERRACE,WA,98043,160
661000-0721,4435,,,1ST,AVE,NW,,,SEATTLE,WA,98107,211
154280-0140,9771,,,184TH,CT,NE,,,REDMOND,WA,98052,60
00494100004400,24321,,,6TH,PL,W,,,BOTHELL,WA,98021,78
01037700440300,3116,,,164TH,ST,SW,APT,403,LYNNWOOD,WA,98087,63
00497400301200,910,,,3RD,ST,,,,MUKILTEO,WA,98275,74
255860-0170,12406,,NE,137TH,PL,,,,KIRKLAND,WA,98034,51
2850000184,1316,,S,WOODLAWN,ST,,,,TACOMA,WA,98465,121
6022910670,17828,,,92ND,AVE,E,,,PUYALLUP,WA,98375,
730330-0670,210,,,MT PARK,BLVD,SW,APT,F201,ISSAQUAH,WA,98027,
6025095230,3320,,,DAYBREAK,AVE,E,,,FIFE,WA,98424,90
3440000610,18705,,,68TH,ST,E,,,BONNEY LAKE,WA,98391,177
952110-0855,712A,,N,45TH,ST,,#,A,SEATTLE,WA,98103,93
000100-0105,1120,,,22ND,ST,NE,,,AUBURN,WA,98002,129
7001360020,15404,,,45TH STREET,CT,E,,,SUMNER,WA,98390,110
022105-9131,16155,,SE,292ND,ST,,,,KENT,WA,98042,73
407780-0287,10749,,,SAND POINT,WAY,NE,,,SEATTLE,WA,98125,251
00796600011600,17728,,,27TH,AVE,NE,,,MARYSVILLE,WA,98271,87
525730-0050,7729,,,15TH,AVE,NE,,,SEATTLE,WA,98115,382
630050-0350,10333,,,INTERLAKE,AVE,N,,,SEATTLE,WA,98133,239
01102900000300,3429,,,164TH,PL,SE,,,BOTHELL,WA,98012,159
558930-0335,1829,,NE,171ST,ST,,,,SHORELINE,WA,98155,
9008970420,1515,,,DOCK,ST,,UNIT,318,TACOMA,WA,98402,
00393900201300,7901,,,BEVERLY,BLVD,,,,EVERETT,WA,98203,
0220154070,4307,,,72ND,AVE,W,,,UNIVERSITY PLACE,WA,98466,129
8000150260,25222,,,154TH STREET,CT,E,,,BUCKLEY,WA,98321,65
5792000180,10715,,,125TH,ST,E,,,PUYALLUP,WA,98374,
143800-0210,16311,,SE,139TH,PL,,,,RENTON,WA,98059,81
00497100009600,618,,,WINTON,AVE,,,,EVERETT,WA,98201,177
776470-0015,17232,,,SYLVESTER,RD,SW,,,NORMANDY PARK,WA,98166,229
00900200000600,7917,,,66TH,DR,NE,,,MARYSVILLE,WA,98270,137
01181600000300,14715,,,ADMIRALTY,WAY,,APT,A6,LYNNWOOD,WA,98087,
00432700000500,3320,,,91ST,ST,SE,,,EVERETT,WA,98208,170
260776-0360,1155,,,11TH,PL,SW,,,NORTH BEND,WA,98045,62
156091-0060,24132,,SE,225TH,ST,,,,MAPLE VALLEY,WA,98038,169
864551-0220,3138,,SE,17TH,CT,,,,RENTON,WA,98058,117
038100-0090,6840,,,42ND,AVE,NE,,,SEATTLE,WA,98115,185
00680100200900,12600,,,4TH,AVE,W,APT,2I,EVERETT,WA,98204,130
095200-6961,4533,,,40TH,AVE,SW,APT,C,SEATTLE,WA,98116,63
27090400203500,42533,,,MAY CREEK,RD,,,,GOLD BAR,WA,98251,42
142202-9086,23616,,,147TH,AVE,SW,,,VASHON,WA,98070,280
666210-0130,10926,,NE,194TH,DR,,,,BOTHELL,WA,98011,332
339515-0380,2550,,,THORNDYKE,AVE,W,APT,405,SEATTLE,WA,98199,95
282205-9169,27054,,,124TH,AVE,SE,,,KENT,WA,98030,41
042107-9137,32303,,SE,291ST,ST,,,,RAVENSDALE,WA,98051,162
6022420440,8008,,,65TH,AVE,E,,,PUYALLUP,WA,98371,103
055500-0118,2201,,S,GRAHAM,ST,,,,SEATTLE,WA,98108,194
926445-0410,30871,,,39TH,AVE,S,,,AUBURN,WA,98001,
124150-0341,12810,,NE,64TH,ST,,,,KIRKLAND,WA,98033,
3001100350,1853,,,MILLER,DR,,,,DUPONT,WA,98327,158
00864500002500,11415,,,51ST,DR,NE,,,MARYSVILLE,WA,98271,
555630-0082,16610,,NE,44TH,WAY,,,,REDMOND,WA,98052,214
0317326007,37515,,,22ND,AVE,S,,,ROY,WA,98580,
032100-0070,3256,,SW,AVALON,WAY,,APT,203,SEATTLE,WA,98126,79
807840-0310,23338,,NE,27TH,ST,,,,SAMMAMISH,WA,98074,150
7276000050,6701,,,87TH,ST,NW,,,GIG HARBOR,WA,98332,237
789320-1846,437,,S,206TH,ST,,,,DES MOINES,WA,98198,134
277060-4937,3813,,,12TH,AVE,W,#,B,SEATTLE,WA,98119,
765590-0182,14829,,,WALLINGFORD,AVE,N,,,SHORELINE,WA,98133,
383205-0130,29733,,,218TH,PL,SE,,,KENT,WA,98042,115
778789-0290,270,,,LYONS,PL,NE,,,RENTON,WA,98059,175
788960-0485,12211,,,2ND,PL,SW,,,SEATTLE,WA,98146,131
31051000404300,6510,,,210TH,ST,NE,,,ARLINGTON,WA,98223,124
00863100002600,16971,,,LOOKOUT MOUNTAIN,RD,SE,,,MONROE,WA,98272,192
7001820110,11020,,,181ST AVENUE,CT,E,,,BONNEY LAKE,WA,98391,192
0120025005,773,,,6TH,AVE,,,,FOX ISLAND,WA,98333,277
030507-0060,23119,,NE,8TH,ST,,UNIT,B106,SAMMAMISH,WA,98074,205
752440-0250,11524,,,133RD,AVE,NE,,,REDMOND,WA,98052,120
00406600013100,22701,,,42ND,PL,W,,,MOUNTLAKE TERRACE,WA,98043,168
258789-0370,17637,,SE,291ST,ST,,,,KENT,WA,98042,75
00760200002400,505,,,224TH,PL,SE,,,BOTHELL,WA,98021,176
7230000500,6810,,,81ST,ST,SW,,,LAKEWOOD,WA,98499,119
0418115033,20815,,,129TH,AVE,E,,,GRAHAM,WA,98338,41
510040-4725,9420,,,5TH,AVE,NE,,,SEATTLE,WA,98115,261
0420243158,618,,,ELIZABETH,ST,,,,SUMNER,WA,98390,31
091800-0025,30434,,,8TH,AVE,S,,,FEDERAL WAY,WA,98003,108
154160-0050,1517,,NE,147TH,ST,,APT,2A,SHORELINE,WA,98155,34
27042300211200,20325,,,21ST,PL,W,,,LYNNWOOD,WA,98036,149
00818800001000,23131,,,14TH,DR,SE,,,BOTHELL,WA,98021,121
137080-1710,2503,,,WESTMONT,WAY,W,,,SEATTLE,WA,98199,214
004000-0380,4419,,S,144TH,ST,,,,TUKWILA,WA,98168,
8000160300,11421,,,261ST,AVE,E,,,BUCKLEY,WA,98321,122
00394100301300,8227,,,XAVIER,WAY,,,,EVERETT,WA,98203,111
0217282016,9517,,,356TH STREET,CT,S,,,MCKENNA,WA,98558,63
068630-0250,1811,,,167TH,AVE,NE,,,BELLEVUE,WA,98008,
6755250860,25716,,,59TH AVENUE,CT,E,,,GRAHAM,WA,98338,175
5050000990,2811,,,183RD,AVE,E,,,LAKE TAPPS,WA,98391,181
948595-1510,18910,,SE,282ND,CT,,,,KENT,WA,98042,280
00748000000200,8734,,,209TH,PL,SW,,,EDMONDS,WA,98026,156
796090-0070,2327,,,88TH,PL,NE,,,CLYDE HILL,WA,98004,139
0320271103,1919,,E,65TH,ST,,,,TACOMA,WA,98404,46
661000-0550,4206,,,2ND,AVE,NW,,,SEATTLE,WA,98107,102
27062000201500,12125,,,202ND,ST,SE,,,SNOHOMISH,WA,98296,82
330079-0150,1425,,S,237TH,CT,,,,DES MOINES,WA,98198,167
00442300000500,1602,,,71ST,PL,SE,,,EVERETT,WA,98203,36
403490-0050,4546,,,119TH,AVE,SE,,,BELLEVUE,WA,98006,107
328820-0560,14228,,,117TH,AVE,NE,,,KIRKLAND,WA,98034,217
327575-0330,17216,,NE,15TH,PL,,,,BELLEVUE,WA,98008,180
3700000070,7602,,,85TH,ST,E,,,PUYALLUP,WA,98371,136
255872-0010,12411,,NE,134TH,PL,,,,KIRKLAND,WA,98034,359
108563-0080,3228,,,21ST,AVE,W,APT,301,SEATTLE,WA,98199,106
00841900001400,19211,,,MERIDIAN,PL,W,,,BOTHELL,WA,98012,139
610800-0040,12567,,,35TH,AVE,NE,APT,104,SEATTLE,WA,98125,93
776470-0025,17204,,,SYLVESTER,RD,SW,,,NORMANDY PARK,WA,98166,112
00835900002800,209,,,97TH,AVE,SE,#,28,LAKE STEVENS,WA,98258,72
00866700015500,16514,,,40TH,AVE,NE,#,B,ARLINGTON,WA,98223,80
232105-9050,34201,,,166TH,WAY,SE,,,AUBURN,WA,98092,139
01005000130300,20318,,,BOTHELL EVERETT,HWY,,APT,A303,BOTHELL,WA,98012,110
00577500001500,22617,,,23RD,PL,W,,,BRIER,WA,98036,
741800-0070,6618,,SE,4TH,PL,,,,RENTON,WA,98059,319
178550-0094,12556,,,DAYTON,AVE,N,,,SEATTLE,WA,98133,
942551-0110,11278,,SE,224TH,PL,,,,KENT,WA,98031,94
00416800000400,2113,,,177TH,PL,SW,,,LYNNWOOD,WA,98037,52
400600-0613,8440,,,MARTIN LUTHER KING JR,WAY,S,,,SEATTLE,WA,98118,163
713230-0680,1118,,,HIAWATHA,PL,S,,,SEATTLE,WA,98144,143
785334-0430,34618,,SE,JACOBIA,ST,,,,SNOQUALMIE,WA,98065,74
137080-2025,2558,,,WESTMONT,WAY,W,,,SEATTLE,WA,98199,162
165180-0220,8542,,NE,13TH,ST,,,,CLYDE HILL,WA,98004,304
243670-0620,5002,,,39TH,AVE,NE,,,SEATTLE,WA,98105,
5004150590,18224,,,6TH AVENUE,CT,E,,,SPANAWAY,WA,98387,154
722750-1965,640,,,GLENNWOOD,CT,NE,,,RENTON,WA,98056,141
054910-0015,22223,,SE,20TH,ST,,,,SAMMAMISH,WA,98075,
28043300300700,14733,,,57TH,PL,W,,,EDMONDS,WA,98026,54
00511000006500,1211,,,114TH,ST,NE,,,TULALIP,WA,98271,94
3520000070,7417,,,86TH,ST,E,,,PUYALLUP,WA,98371,293
01024300002100,15105,,,228TH,AVE,SE,,,MONROE,WA,98272,162
01122200001700,3412,,,223RD,PL,SE,,,BOTHELL,WA,98021,231
3161000440,9908,,,257TH STREET,CT,E,,,GRAHAM,WA,98338,177
6027090780,14018,,,67TH,AVE,E,,,PUYALLUP,WA,98373,155
00404900002000,18806,,,41ST,PL,W,,,LYNNWOOD,WA,98036,79
6020190100,9315,,,166TH STREET,CT,E,,,PUYALLUP,WA,98375,55
00514600000200,5919,,,164TH,PL,SW,,,LYNNWOOD,WA,98037,203
5004700010,5348,,,KELSEY,LN,E,,,FIFE,WA,98424,151
00463300900302,8506,,,238TH,ST,SW,,,EDMONDS,WA,98026,93
00555200000300,422,,,NUBBY,LN,,,,LAKE STEVENS,WA,98258,173
919797-0340,10822,,,SLATER,AVE,NE,,,KIRKLAND,WA,98033,187
227150-0015,13048,,,10TH,AVE,NE,,,SEATTLE,WA,98125,
3001171090,1174,,,SWAN,LOOP,,,,DUPONT,WA,98327,
220650-0185,3750,,,136TH,PL,SE,,,BELLEVUE,WA,98006,106
164500-0410,1729,,,CLOVERCREST,ST,,,,ENUMCLAW,WA,98022,124
330404-0080,5240,,S,285TH,ST,,,,AUBURN,WA,98001,132
00394510100800,14024,,,66TH,AVE,NW,,,STANWOOD,WA,98292,256
263450-0040,317,,NE,152ND,ST,,,,SHORELINE,WA,98155,161
00897900007300,19516,,,12TH,AVE,W,,,LYNNWOOD,WA,98036,135
00444201701200,417,,,AVENUE D,,,,,SNOHOMISH,WA,98290,
5001950070,7715,,,51ST AVENUE,CT,E,,,TACOMA,WA,98443,37
722780-1805,1427,,,INDEX,AVE,NE,,,RENTON,WA,98056,
336140-1100,1203,,S,116TH,ST,,,,SEATTLE,WA,98168,127
7000510060,8311,,,204TH AVENUE,CT,E,,,BONNEY LAKE,WA,98391,167
01034100005900,22700,,,44TH,DR,SE,,,BOTHELL,WA,98021,252
0417088001,31321,,,LEBOR DEVORE,RD,E,,,EATONVILLE,WA,98328,101
403970-0180,412,,,174TH,PL,NE,,,BELLEVUE,WA,98008,147
00669700002000,4420,,,145TH,PL,SW,,,LYNNWOOD,WA,98087,121
3000030020,4312,,,76TH AVENUE,CT,NW,,,GIG HARBOR,WA,98335,155
00704200001800,5429,,,119TH,PL,NE,,,MARYSVILLE,WA,98271,96
01150700000400,17303,,,32ND,DR,NW,,,STANWOOD,WA,98292,103
683782-0530,32822,,,8TH,PL,SW,,,FEDERAL WAY,WA,98023,
750401-0630,3110,,,211TH,AVE,NE,,,SAMMAMISH,WA,98074,126
0417044004,9715,,,304TH,ST,E,,,GRAHAM,WA,98338,88
01142400002300,3600,,,198TH,ST,SE,,,BOTHELL,WA,98012,261
5001520220,1005,,,291ST,ST,E,,,ROY,WA,98580,98
00374500100401,22610,,,BRIER,RD,,,,BRIER,WA,98036,276
00859000004400,15763,,,LAKEVIEW,AVE,SE,,,MONROE,WA,98272,44
664815-0020,9280,,SE,36TH,PL,,,,MERCER ISLAND,WA,98040,314
7002660720,13418,,,186TH AVENUE,CT,E,,,BONNEY LAKE,WA,98391,160
01090100000700,5614,,,89TH,PL,NE,,,MARYSVILLE,WA,98270,120
682110-1180,3603,,,33RD,AVE,W,,,SEATTLE,WA,98199,228
00576200300600,1109,,,6TH,ST,,,,MARYSVILLE,WA,98270,140
00884400000200,5523,,,156TH,ST,SW,,,EDMONDS,WA,98026,182
605470-0010,10914,,,GLEN ACRES,DR,S,,,SEATTLE,WA,98168,209
778705-0610,172,,,HOQUIAM,AVE,NE,,,RENTON,WA,98059,176
228890-0065,2315,,,MCGILVRA,BLVD,E,,,SEATTLE,WA,98112,166
955020-3840,156,,NE,52ND,ST,,,,SEATTLE,WA,98105,
00718400200400,15908,,,VILLAGE GREEN,DR,,UNIT,D,MILL CREEK,WA,98012,179
00402200001100,8223,,,54TH,DR,NE,,,MARYSVILLE,WA,98270,237
142308-9173,44810,,SE,129TH,ST,,,,NORTH BEND,WA,98045,50
00847100003100,1628,,,166TH,PL,SE,,,MILL CREEK,WA,98012,61
00437042500900,2017,,,HOYT,AVE,,,,EVERETT,WA,98201,168
7001500730,21213,,,82ND,ST,E,,,BONNEY LAKE,WA,98391,187
00827500600200,1131,,,115TH,ST,SW,UNIT,F2,EVERETT,WA,98204,89
097600-0904,2905,,,4TH,AVE,W,,,SEATTLE,WA,98119,211
332702-0020,11218,,SE,321ST,PL,,,,AUBURN,WA,98092,119
882090-0029,4245,,NE,125TH,ST,,,,SEATTLE,WA,98125,201
00443100000500,6029,,,DEXTER,AVE,,,,EVERETT,WA,98203,377
2038120050,605,,N,8TH,ST,,,,TACOMA,WA,98403,
7001290730,6406,,,REBECCA,CT,SE,,,AUBURN,WA,98092,90
643700-0020,75,,S,MAIN,ST,,#,81,SEATTLE,WA,98104,190
330470-0030,159,,NW,HIGHLAND,DR,,,,SHORELINE,WA,98177,106
620420-0130,14704,,,104TH,AVE,NE,,,BOTHELL,WA,98011,136
5470000231,6202,,S,HUSON,ST,,,,TACOMA,WA,98409,228
329971-0090,22735,,SE,49TH,PL,,,,ISSAQUAH,WA,98029,218
431070-0200,9724,,,DENSMORE,AVE,N,,,SEATTLE,WA,98103,174
00509000003200,16730,,,1ST,AVE,SE,,,BOTHELL,WA,98012,97
00876100701900,1816,,,80TH,AVE,NE,,,LAKE STEVENS,WA,98258,112
738900-0070,7,,,HOLLY,LN,,,,MERCER ISLAND,WA,98040,226
721290-0010,15214,,,40TH,AVE,S,,,TUKWILA,WA,98188,239
413688-0090,1602,,,55TH,CT,SE,,,AUBURN,WA,98092,232
026752-0080,8000,,,28TH,AVE,NW,APT,420,SEATTLE,WA,98117,68
276810-0500,1145,,NW,56TH,ST,,,,SEATTLE,WA,98107,
982870-1371,1828,,,27TH,AVE,,#,B,SEATTLE,WA,98122,106
413980-0190,6681,,SE,COUGAR MOUNTAIN,WAY,,,,BELLEVUE,WA,98006,76
679085-0420,1017,,,PINE CREST,CIR,NE,,,ISSAQUAH,WA,98029,137
132104-9034,504,,,3RD,ST,SW,,,AUBURN,WA,98001,
27032400203200,807,,,7TH,AVE,N,,,EDMONDS,WA,98020,163
0519116001,21621,,,118TH,ST,E,,,BONNEY LAKE,WA,98391,182
259420-0390,9835,,,44TH,AVE,SW,,,SEATTLE,WA,98136,
00400000000404,6425,,,CADY,RD,,,,EVERETT,WA,98203,39
5001560460,15604,,,40TH,AVE,E,,,TACOMA,WA,98446,101
793760-0842,17728,,,190TH,AVE,SE,,,RENTON,WA,98058,
00839600001800,5824,,,138TH,PL,NE,,,MARYSVILLE,WA,98271,32
00513100010510,16623,,,74TH,PL,W,,,EDMONDS,WA,98026,65
639200-1630,7730,,,38TH,AVE,NE,,,SEATTLE,WA,98115,152
430550-0020,6792,,SE,2ND,ST,,,,RENTON,WA,98059,87
3925200130,10129,,,119TH,ST,SW,,,LAKEWOOD,WA,98498,128
363015-0090,2590,,NE,KENSINGTON,CT,,,,ISSAQUAH,WA,98029,174
510890-0020,27456,,,237TH,PL,SE,,,MAPLE VALLEY,WA,98038,407
720226-1080,10112,,,225TH,TER,NE,,,REDMOND,WA,98053,63
00661400003300,15221,,,47TH,PL,W,,,LYNNWOOD,WA,98087,98
